"go_boost","go","wp","posteam","pass","rush","play_type","epa","two_point_conv_result","down","ydstogo"
NA,100,0.420420408248901,"ARI",0,1,"run",-0.362216155976057,NA,2,6
NA,100,0.42876735329628,"ARI",1,0,"pass",-0.913345412351191,NA,2,12
NA,100,0.707929372787476,"DET",1,0,"pass",-11.6032015178353,NA,2,5
NA,100,0.365544736385345,"DET",1,0,"pass",-0.546338052488863,NA,2,10
0.133477702185197,0,0.329981833696365,"DET",0,0,"punt",0.313830354250968,NA,4,8
NA,100,0.67602127790451,"ARI",0,1,"run",0.40699389250949,NA,2,7
3.39964939142203,0,0.655888855457306,"ARI",0,0,"punt",-0.662351679988205,NA,4,1
NA,100,0.336082279682159,"DET",1,0,"pass",-0.108402913901955,NA,2,17
-2.46288200190929,0,0.299555867910385,"DET",0,1,"run",-2.26000043028034,NA,4,21
NA,100,0.753861427307129,"ARI",0,1,"run",-0.725309060653672,NA,2,9
-1.09117011566215,0,0.717534422874451,"ARI",0,0,"no_play",2.94695598294493,NA,4,8
NA,100,0.775471270084381,"ARI",0,1,"run",-0.67609594669193,NA,2,3
0.388022586440717,0,0.74243825674057,"ARI",0,0,"field_goal",0.0281579747766449,NA,4,6
NA,100,0.254788100719452,"DET",1,0,"pass",0.513939368538558,NA,2,9
NA,100,0.255984872579575,"DET",1,0,"pass",0.802280500065535,NA,2,11
NA,100,0.295538246631622,"DET",1,0,"pass",0.439746533054858,NA,2,7
1.12217558383222,0,0.250880539417267,"DET",0,0,"punt",-0.984049967490137,NA,4,2
NA,100,0.702834963798523,"ARI",0,1,"run",-0.288890494033694,NA,2,10
NA,100,0.783715009689331,"ARI",1,0,"no_play",-1.34387012035586,NA,2,10
NA,100,0.762784898281097,"ARI",1,0,"pass",-4.61272467765957,NA,2,25
NA,100,0.290683835744858,"DET",1,0,"pass",-0.570793476421386,NA,2,15
NA,100,0.356763690710068,"DET",1,0,"pass",-0.604704376542941,NA,2,5
NA,100,0.366776943206787,"DET",0,1,"run",-0.0937024686136283,NA,2,4
NA,100,0.35458904504776,"DET",1,0,"pass",1.85341214964865,NA,2,6
NA,100,0.56175971031189,"ARI",1,0,"pass",-0.600034220609814,NA,2,10
-3.9220174903485,0,0.510522842407227,"ARI",0,0,"punt",-0.391823566169478,NA,4,10
NA,100,0.443791270256042,"DET",1,0,"pass",-0.206983636249788,NA,2,14
-2.13445201424335,0,0.393670201301575,"DET",0,0,"punt",-0.860494735767134,NA,4,8
